County of Santa Barbara,,,,,,,,,,,,
Daily Rainfall Record - through 08-31-2020,,,,,,,,,,,,
,,,,,,,,,,,,
#421 - Figueroa Mtn,,,,,,,,,,,,
"Lat 34-44-04, Long 120-00-25, Elev 3250 ft",,,,,,,,,,,,
,,,,,,,,,,,,
Daily Rainfall (in inches) recorded as of 8am for the previous 24 hours (PST),,,,,,,,,,,,
"Codes: PR = Preliminary data,  E = Estimated from nearby gauge",,,,,,,,,,,,
,,,,,,,,,,,,
station id,water year,year,month,day,daily rain,code,,,,,,
421,1965,1965,3,8,0.02,,,,,,,
421,1965,1965,3,9,0.07,,,,,,,
421,1965,1965,3,11,0.08,,,,,,,
421,1965,1965,3,12,0.25,,,,,,,
421,1965,1965,3,13,0.05,,,,,,,
421,1965,1965,3,14,0.40,,,,,,,
421,1965,1965,3,15,0.04,,,,,,,
421,1965,1965,4,1,1.57,,,,,,,
421,1965,1965,4,2,0.58,,,,,,,
421,1965,1965,4,3,0.30,,,,,,,
421,1965,1965,4,4,0.53,,,,,,,
421,1965,1965,4,5,0.08,,,,,,,
421,1965,1965,4,6,0.62,,,,,,,
421,1965,1965,4,8,1.56,,,,,,,
421,1965,1965,4,9,1.24,,,,,,,
421,1965,1965,4,10,0.07,,,,,,,
421,1965,1965,4,12,0.04,,,,,,,
421,1965,1965,7,17,0.02,,,,,,,
421,1966,1965,9,6,0.20,,,,,,,
421,1966,1965,9,18,0.59,,,,,,,
421,1966,1965,11,14,1.06,,,,,,,
421,1966,1965,11,15,0.80,,,,,,,
421,1966,1965,11,16,2.67,,,,,,,
421,1966,1965,11,17,1.46,,,,,,,
421,1966,1965,11,18,0.40,,,,,,,
421,1966,1965,11,21,0.80,,,,,,,
421,1966,1965,11,22,2.00,,,,,,,
421,1966,1965,11,23,0.13,,,,,,,
421,1966,1965,11,24,0.40,,,,,,,
421,1966,1965,12,9,0.42,,,,,,,
421,1966,1965,12,10,0.03,,,,,,,
421,1966,1965,12,12,0.51,,,,,,,
421,1966,1965,12,14,0.01,,,,,,,
421,1966,1965,12,31,4.10,,,,,,,
421,1966,1966,1,25,0.10,,,,,,,
421,1966,1966,1,29,0.20,,,,,,,
421,1966,1966,1,30,1.30,,,,,,,
421,1966,1966,2,1,0.10,,,,,,,
421,1966,1966,2,5,0.50,,,,,,,
421,1966,1966,2,6,0.50,,,,,,,
421,1966,1966,2,10,0.10,,,,,,,
421,1966,1966,3,3,0.20,,,,,,,
421,1966,1966,5,12,0.40,,,,,,,
421,1967,1966,9,29,0.20,,,,,,,
421,1967,1966,10,6,0.10,,,,,,,
421,1967,1966,11,6,0.16,,,,,,,
421,1967,1966,11,7,2.55,,,,,,,
421,1967,1966,11,8,0.43,,,,,,,
421,1967,1966,11,16,0.08,,,,,,,
421,1967,1966,11,17,0.05,,,,,,,
421,1967,1966,11,21,0.73,,,,,,,
421,1967,1966,11,22,0.08,,,,,,,
421,1967,1966,11,23,0.10,,,,,,,
421,1967,1966,11,29,0.50,,,,,,,
421,1967,1966,12,3,2.75,,,,,,,
421,1967,1966,12,5,1.45,,,,,,,
421,1967,1966,12,6,2.75,,,,,,,
